各年收入族群女性持卡人於六都消費樣態,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年月,地區,性別,食品餐飲類未滿20[筆數],食品餐飲類未滿20[金額，新台幣],衣著飾品類未滿20[筆數],衣著飾品類未滿20[金額，新台幣],旅館住宿類未滿20[筆數],旅館住宿類未滿20[金額，新台幣],交通類未滿20[筆數],交通類未滿20[金額，新台幣],文教康樂類未滿20[筆數],文教康樂類未滿20[金額，新台幣],百貨類未滿20[筆數],百貨類未滿20[金額，新台幣],其他類未滿20[筆數],其他類未滿20[金額，新台幣],食品餐飲類20[含]-25[筆數],食品餐飲類20[含]-25[金額，新台幣],衣著飾品類20[含]-25[筆數],衣著飾品類20[含]-25[金額，新台幣],旅館住宿類20[含]-25[筆數],旅館住宿類20[含]-25[金額，新台幣],交通類20[含]-25[筆數],交通類20[含]-25[金額，新台幣],文教康樂類20[含]-25[筆數],文教康樂類20[含]-25[金額，新台幣],百貨類20[含]-25[筆數],百貨類20[含]-25[金額，新台幣],其他類20[含]-25[筆數],其他類20[含]-25[金額，新台幣],食品餐飲類25[含]-30[筆數],食品餐飲類25[含]-30[金額，新台幣],衣著飾品類25[含]-30[筆數],衣著飾品類25[含]-30[金額，新台幣],旅館住宿類25[含]-30[筆數],旅館住宿類25[含]-30[金額，新台幣],交通類25[含]-30[筆數],交通類25[含]-30[金額，新台幣],文教康樂類25[含]-30[筆數],文教康樂類25[含]-30[金額，新台幣],百貨類25[含]-30[筆數],百貨類25[含]-30[金額，新台幣],其他類25[含]-30[筆數],其他類25[含]-30[金額，新台幣],食品餐飲類30[含]-35[筆數],食品餐飲類30[含]-35[金額，新台幣],衣著飾品類30[含]-35[筆數],衣著飾品類30[含]-35[金額，新台幣],旅館住宿類30[含]-35[筆數],旅館住宿類30[含]-35[金額，新台幣],交通類30[含]-35[筆數],交通類30[含]-35[金額，新台幣],文教康樂類30[含]-35[筆數],文教康樂類30[含]-35[金額，新台幣],百貨類30[含]-35[筆數],百貨類30[含]-35[金額，新台幣],其他類30[含]-35[筆數],其他類30[含]-35[金額，新台幣],食品餐飲類35[含]-40[筆數],食品餐飲類35[含]-40[金額，新台幣],衣著飾品類35[含]-40[筆數],衣著飾品類35[含]-40[金額，新台幣],旅館住宿類35[含]-40[筆數],旅館住宿類35[含]-40[金額，新台幣],交通類35[含]-40[筆數],交通類35[含]-40[金額，新台幣],文教康樂類35[含]-40[筆數],文教康樂類35[含]-40[金額，新台幣],百貨類35[含]-40[筆數],百貨類35[含]-40[金額，新台幣],其他類35[含]-40[筆數],其他類35[含]-40[金額，新台幣],食品餐飲類40[含]-45[筆數],食品餐飲類40[含]-45[金額，新台幣],衣著飾品類40[含]-45[筆數],衣著飾品類40[含]-45[金額，新台幣],旅館住宿類40[含]-45[筆數],旅館住宿類40[含]-45[金額，新台幣],交通類40[含]-45[筆數],交通類40[含]-45[金額，新台幣],文教康樂類40[含]-45[筆數],文教康樂類40[含]-45[金額，新台幣],百貨類40[含]-45[筆數],百貨類40[含]-45[金額，新台幣],其他類40[含]-45[筆數],其他類40[含]-45[金額，新台幣],食品餐飲類45[含]-50[筆數],食品餐飲類45[含]-50[金額，新台幣],衣著飾品類45[含]-50[筆數],衣著飾品類45[含]-50[金額，新台幣],旅館住宿類45[含]-50[筆數],旅館住宿類45[含]-50[金額，新台幣],交通類45[含]-50[筆數],交通類45[含]-50[金額，新台幣],文教康樂類45[含]-50[筆數],文教康樂類45[含]-50[金額，新台幣],百貨類45[含]-50[筆數],百貨類45[含]-50[金額，新台幣],其他類45[含]-50[筆數],其他類45[含]-50[金額，新台幣],食品餐飲類50[含]-55[筆數],食品餐飲類50[含]-55[金額，新台幣],衣著飾品類50[含]-55[筆數],衣著飾品類50[含]-55[金額，新台幣],旅館住宿類50[含]-55[筆數],旅館住宿類50[含]-55[金額，新台幣],交通類50[含]-55[筆數],交通類50[含]-55[金額，新台幣],文教康樂類50[含]-55[筆數],文教康樂類50[含]-55[金額，新台幣],百貨類50[含]-55[筆數],百貨類50[含]-55[金額，新台幣],其他類50[含]-55[筆數],其他類50[含]-55[金額，新台幣],食品餐飲類55[含]-60[筆數],食品餐飲類55[含]-60[金額，新台幣],衣著飾品類55[含]-60[筆數],衣著飾品類55[含]-60[金額，新台幣],旅館住宿類55[含]-60[筆數],旅館住宿類55[含]-60[金額，新台幣],交通類55[含]-60[筆數],交通類55[含]-60[金額，新台幣],文教康樂類55[含]-60[筆數],文教康樂類55[含]-60[金額，新台幣],百貨類55[含]-60[筆數],百貨類55[含]-60[金額，新台幣],其他類55[含]-60[筆數],其他類55[含]-60[金額，新台幣],食品餐飲類60[含]-65[筆數],食品餐飲類60[含]-65[金額，新台幣],衣著飾品類60[含]-65[筆數],衣著飾品類60[含]-65[金額，新台幣],旅館住宿類60[含]-65[筆數],旅館住宿類60[含]-65[金額，新台幣],交通類60[含]-65[筆數],交通類60[含]-65[金額，新台幣],文教康樂類60[含]-65[筆數],文教康樂類60[含]-65[金額，新台幣],百貨類60[含]-65[筆數],百貨類60[含]-65[金額，新台幣],其他類60[含]-65[筆數],其他類60[含]-65[金額，新台幣],食品餐飲類65[含]-70[筆數],食品餐飲類65[含]-70[金額，新台幣],衣著飾品類65[含]-70[筆數],衣著飾品類65[含]-70[金額，新台幣],旅館住宿類65[含]-70[筆數],旅館住宿類65[含]-70[金額，新台幣],交通類65[含]-70[筆數],交通類65[含]-70[金額，新台幣],文教康樂類65[含]-70[筆數],文教康樂類65[含]-70[金額，新台幣],百貨類65[含]-70[筆數],百貨類65[含]-70[金額，新台幣],其他類65[含]-70[筆數],其他類65[含]-70[金額，新台幣],食品餐飲類70[含]-75[筆數],食品餐飲類70[含]-75[金額，新台幣],衣著飾品類70[含]-75[筆數],衣著飾品類70[含]-75[金額，新台幣],旅館住宿類70[含]-75[筆數],旅館住宿類70[含]-75[金額，新台幣],交通類70[含]-75[筆數],交通類70[含]-75[金額，新台幣],文教康樂類70[含]-75[筆數],文教康樂類70[含]-75[金額，新台幣],百貨類70[含]-75[筆數],百貨類70[含]-75[金額，新台幣],其他類70[含]-75[筆數],其他類70[含]-75[金額，新台幣],食品餐飲類75[含]-80[筆數],食品餐飲類75[含]-80[金額，新台幣],衣著飾品類75[含]-80[筆數],衣著飾品類75[含]-80[金額，新台幣],旅館住宿類75[含]-80[筆數],旅館住宿類75[含]-80[金額，新台幣],交通類75[含]-80[筆數],交通類75[含]-80[金額，新台幣],文教康樂類75[含]-80[筆數],文教康樂類75[含]-80[金額，新台幣],百貨類75[含]-80[筆數],百貨類75[含]-80[金額，新台幣],其他類75[含]-80[筆數],其他類75[含]-80[金額，新台幣],食品餐飲類80[含]以上[筆數],食品餐飲類80[含]以上[金額，新台幣],衣著飾品類80[含]以上[筆數],衣著飾品類80[含]以上[金額，新台幣],旅館住宿類80[含]以上[筆數],旅館住宿類80[含]以上[金額，新台幣],交通類80[含]以上[筆數],交通類80[含]以上[金額，新台幣],文教康樂類80[含]以上[筆數],文教康樂類80[含]以上[金額，新台幣],百貨類80[含]以上[筆數],百貨類80[含]以上[金額，新台幣],其他類80[含]以上[筆數],其他類80[含]以上[金額，新台幣]
104年02月,新北市,女性,525,336727,72,127657,68,226685,91,38126,187,368921,208,500728,279,604033,10993,12322595,2856,6822124,2584,8328361,4076,1885566,6007,15246845,5245,15631159,9212,30597494,37491,52749147,8188,20832845,6371,25918696,12738,7482104,15085,42013726,17380,54676763,25157,86871096,74740,114575800,15706,39864510,10541,48395759,21005,13462152,21409,64401901,31290,95042896,37817,123382800,104099,162699843,21492,57676216,13089,61372622,23612,16987800,24289,77721937,39344,123148239,41916,141604455,108122,172850984,20723,58803177,13662,70939794,22979,17405341,22302,74423537,35879,118175234,37487,135337328,108094,182422744,18093,57139033,13858,73574338,20707,16832936,19119,68914485,31099,109487123,33024,143887628,93096,164189803,12624,44858243,10694,60204857,16623,13590796,13595,53163889,22482,84408759,24090,107568532,67884,118031989,7373,27344383,6422,40834292,10559,8268769,7154,29333730,14221,54529580,14305,66496934,42053,70923382,3623,13093685,3347,19120225,5472,4334778,3781,13649333,7544,26219898,7135,38123799,16085,24657583,1105,3920585,1147,6317531,1493,1233318,1113,4918764,2591,8905346,2293,11532254,5356,8472076,285,1025515,456,2181625,400,411730,393,1779260,771,2349223,747,3184141,1692,2742238,54,220414,128,931885,119,91699,93,332517,209,833113,207,1144353,1046,1587643,255,976554,142,1309043,54,161506,359,2018949,303,1065091,457,2693646
104年03月,新北市,女性,666,378871,72,102368,83,281733,128,53028,174,438411,148,319227,325,596760,12062,11328746,2598,5563572,2477,7857594,4883,2217854,6292,16241674,4770,12741229,10699,29173755,38918,47461751,7885,18520043,6581,25485883,14963,8043503,15600,43789608,14615,42155980,28018,79245965,76446,104338155,15270,36322470,10167,44406886,24542,15700860,20463,60989186,26009,78401893,42825,121283454,105811,140513120,18966,46961306,12360,56835357,28481,20305825,22938,74896896,31694,96661832,47305,144236779,106197,139823444,15893,44042811,11837,57254005,26864,20507666,19805,67916683,27788,88909649,40836,140006680,102550,135596272,14181,43955941,11444,58038210,23804,19076631,17145,60504915,23810,80934579,35270,148789373,85330,117822481,11394,37196178,8900,49549855,18933,15695165,12791,47647454,18046,66147882,24859,110703108,60772,86076659,7016,24604590,5507,32518807,11985,10265823,7212,26936097,12342,45220126,15180,74830919,38413,51395906,3759,12534381,2743,16046757,5915,4975293,3693,15476417,6827,24099861,7746,38924017,14806,19160291,1178,3654977,1089,5840938,1642,1678567,1307,5594200,2315,8413502,2600,13313579,4887,6126695,302,1038804,301,1905208,407,460228,439,1755575,692,2558562,887,4681485,1551,1872992,72,207586,92,494577,118,144011,92,362006,208,830707,272,1569341,946,1148526,245,911035,127,1048083,59,139915,313,1469999,277,995205,547,3415589
104年04月,新北市,女性,662,357927,69,124353,71,177412,127,75658,183,347446,212,727584,400,676311,12038,11720559,2730,5692140,2265,8954627,4627,2294153,6425,16214817,5130,14516857,11293,28341640,39146,46992638,8134,18132222,6223,27534780,13774,7441788,16793,43776889,16866,52860805,28914,81167878,77842,101223115,15031,34976314,10752,53253162,22997,14487430,22452,68309734,30452,97019292,42048,121684705,106605,135215319,18267,43814098,13275,71835359,26670,18994261,24851,80930006,36228,122958718,46151,144072530,107681,135470602,15588,41613889,13042,74212244,24664,18857352,21368,73806751,30566,110328471,39912,140983649,104660,136333883,13533,41124464,12763,80626557,22417,17881007,18445,70873122,26157,101582846,34134,139089042,87359,120411410,10482,35406716,10064,66284835,17739,14846128,13224,53205901,20102,84601075,24850,114054628,62348,85837593,6606,23434594,6503,48715909,11105,9288417,7776,35552313,13673,58760227,14995,70456623,39212,50507473,3518,12566236,3427,23858317,5518,4492664,4080,20392930,7563,31709644,7544,42004696,15301,18892504,1144,3905126,1196,7625184,1711,1442270,1343,6568893,2634,9679468,2588,15461805,5041,6332489,282,1242485,413,3074765,397,411682,545,2480242,772,3110714,880,4444895,1511,1746956,64,240142,121,802174,106,135984,106,466906,221,975484,274,1364220,1036,1260352,232,893098,146,1513662,54,99510,343,1976100,252,1027434,540,3593618
104年05月,新北市,女性,726,362502,91,156658,69,90308,187,72246,208,588535,213,462171,352,702322,14468,14105933,2932,6321773,2425,8487432,5083,2853565,7059,16623330,6110,15468966,10227,28306399,45671,56658111,8846,20114492,6586,28207992,14749,8206566,17246,47876107,19478,55093654,27488,79354903,90040,118802263,16190,37981504,10819,52315403,24607,16480406,23084,71790547,34178,96456978,41811,122853672,123310,162588312,19834,49440868,13331,66401031,28266,20741048,26221,89385264,41481,119588279,46432,154129949,123041,161160641,16955,47827500,13307,70511250,26573,20864312,22720,84247685,36569,113542397,41189,146261854,119243,158085187,14761,47511933,12419,68481092,23613,20166703,19055,77505891,30912,100595562,35360,149866569,98720,137038834,11577,41182637,9665,56157507,18659,16104474,13931,58665076,23845,82746000,25829,113141344,70410,98715525,7182,25529000,6035,37633149,11624,9858450,7863,35912037,15651,58567334,15249,73783399,44350,61226073,3910,13880441,3250,20461999,5853,5283987,4204,18377839,8567,28573974,8100,39708664,17063,21788119,1179,3889752,1165,6585914,1681,1439202,1437,6780905,3044,9863101,2713,13007918,5598,7673447,285,987336,310,2507780,384,377674,401,2227939,904,3077283,895,6116723,1810,2106112,85,317490,96,720259,117,102987,125,547352,280,1075076,237,1212857,1135,1463079,231,902414,106,821951,59,183769,352,2072829,283,817572,494,2707103
104年06月,新北市,女性,657,361279,72,120394,73,166708,153,67016,182,658795,224,513123,341,493048,13245,12298773,2714,5546054,2472,8011655,5154,2612042,6435,14777087,5375,12871416,10336,28431392,43140,48476180,8094,18471538,6379,28374603,14863,8201358,16365,39827259,17059,43301664,27585,79249849,84776,107085142,15408,35380508,10486,52902552,25173,17046123,21810,58699726,31686,79044323,40932,117484335,117348,141887291,18718,46123043,13309,72201645,29093,21189753,24177,75176365,38039,100832770,44784,139084576,117960,145187575,15829,43346672,13051,74466828,26899,20488980,21289,77375213,33802,95551142,39138,137687278,114422,143214090,13639,41883641,12270,77928040,24134,21574930,17803,67866875,28974,88996039,34432,136175416,95530,125035136,10697,35292683,10315,64782168,19279,16560126,13222,48680619,21858,71227490,24672,112208373,67695,88713049,6375,21617443,6389,44360225,11905,10274479,7368,31097091,14087,46664078,14294,67491899,43052,55225556,3461,11775540,3466,22408208,6140,5468663,3821,16302263,7930,25109867,7540,38574770,17216,20207951,1092,3396445,1324,7446073,1784,1929517,1246,5229134,2960,8338132,2523,13400393,5248,6373992,296,1004772,449,2357485,428,369688,366,1495340,805,2258901,773,3723257,1785,1983556,59,177796,107,739347,140,121349,126,517110,261,689827,235,1751940,1037,1169528,211,904004,149,1341005,58,53948,292,1813108,302,1016677,527,2584210
104年07月,新北市,女性,694,430317,84,134460,82,190532,176,72202,219,887171,238,394503,366,657485,14308,12656742,2643,5179964,2843,9793545,5029,2432750,6631,15316119,5294,12259626,10836,25770844,46050,52065280,8491,18548535,7251,30259143,15119,8281448,16494,40322292,16423,42242037,29062,73729240,90878,108595944,16022,36027684,11561,54465344,25761,18195480,22237,60686152,31466,77668014,45844,120655602,126347,148542579,19424,46095764,14711,76218980,29745,25941207,25602,76202421,39590,101741580,53996,163025744,125121,151436341,15906,42546050,15097,83054544,27274,23013821,23562,80091228,35534,98105896,50196,176965020,124026,154455211,14192,44031651,14621,84152056,24323,22989911,19735,77967273,30509,91361169,45334,173604856,104167,136286148,11003,37126917,11255,68168464,19103,18138266,13673,48481091,22588,72920741,69634,158853730,73827,96809242,6669,22832427,6635,42808897,12096,11108907,7505,31502046,14462,47469072,23863,88157702,46843,59184173,3441,11734278,3607,24292032,6303,5753443,4037,15944665,8256,26230643,8994,47136215,18697,21618554,1089,3238712,1222,7623151,1797,1573299,1369,5700173,3068,8609036,9627,23122501,5835,6854762,252,886093,382,2388934,470,530588,422,2303912,913,2624366,919,5191446,1857,2114530,76,257338,143,723740,133,178862,116,368725,260,661085,286,1446207,1143,1220160,220,787596,173,1744967,82,182693,350,1680334,310,968993,640,3695000
104年08月,新北市,女性,750,474102,82,115250,137,439918,163,72225,220,547406,268,588966,469,864351,16029,15354013,2653,5285831,2923,8385461,4817,2244073,6826,15523924,5798,13504167,12415,27261757,52719,62096056,8123,17418251,7408,28272181,14530,8506616,16924,41326821,18124,44205030,29595,71377232,102104,130060836,15379,33518942,11981,46860221,24650,16256093,22026,56347506,32640,77184688,48490,123274639,145513,181190704,18253,41626661,15747,68777365,28573,21911379,25830,74225988,41818,101612745,50564,145777841,142818,185978982,15404,38496295,15407,73158857,26598,20365764,22825,68427968,36156,92398685,50110,152549180,141228,192912294,13905,41260302,14181,73523691,23045,18973540,19727,67936394,30381,84206810,45942,161026930,118207,166009722,11022,35880892,10218,56742920,18842,16958764,13387,47470563,22387,69005913,27794,117729530,84726,117570194,6619,21510338,5985,37755160,11723,10591763,7520,28719809,14172,43976844,16897,77281916,54212,71886771,3544,10893191,3221,18086400,6038,5328944,3974,16726549,8085,23475034,8776,39319396,21268,25629047,1065,3248498,1238,6671647,1831,1549141,1394,6359773,2923,7793441,2662,15471239,6478,7808010,249,867331,299,1708176,439,314230,368,1619011,781,2012043,861,4494793,2208,2628861,58,206898,95,660396,136,107595,134,524462,203,700114,222,1569304,1274,1436886,208,802751,166,1225493,78,228429,352,2003083,280,970464,539,3206583
104年09月,新北市,女性,707,382978,94,159066,165,395978,137,46890,189,407267,192,303676,371,568773,14711,13893009,2619,5521936,2772,8664936,4929,2364297,6317,14869077,5154,11516161,11007,21567696,46972,55517720,8344,19526271,6359,25520986,14155,8109571,15498,40407075,16234,41480516,25717,59644853,92762,114130189,15353,35462188,10424,46779377,24024,14970029,21042,61765324,30776,78127650,37972,102449595,130907,160250844,18212,45297102,13169,58143877,28188,19471808,23445,75494116,38751,102866863,62689,143496683,129604,161883567,14414,39665118,12390,63249491,26093,19950742,21079,70057585,33374,92496031,46266,153457615,126834,163933082,13837,41812913,11864,65286328,23595,19074867,18108,65120417,27890,85110768,43169,153880722,105894,143157045,10865,37080728,9582,52007142,18661,15740318,12888,50049455,20605,71228185,47550,124085766,75365,104182986,6885,23398937,5534,35208657,11612,9302521,7627,32882685,13656,45402996,39550,87735206,48612,63210569,3571,12373440,2746,14915162,6044,4937079,3915,18823247,7719,25857089,8857,42022654,19595,24073234,1172,3621498,1158,6597178,1872,1772718,1329,5398038,2904,9523803,2849,14209708,5950,7085119,272,996826,314,1886380,415,304891,376,1603458,770,2288414,2408,6659335,2018,2592508,77,260291,130,521794,148,115119,131,689829,287,1063684,294,2079747,1111,1307910,278,1027218,149,1105982,73,102387,328,1959872,259,1032817,514,2984370
104年10月,新北市,女性,824,420944,99,175470,89,175524,139,46817,198,509021,338,786639,3817,4654471,14377,12701377,3208,6567757,2726,8960961,5462,2518593,5987,15260914,9192,28736163,11680,38448505,45749,52389235,9714,23027433,6609,26988210,14959,8454074,15551,46443803,30012,107831740,29830,102252278,90371,112205574,17093,41280872,10860,47376089,24974,16247916,21334,70116861,52596,191446090,44130,144004710,128732,153746197,20032,50965963,13326,64582286,29401,21976389,24929,86842263,62344,223376532,50194,161057892,125401,151418002,15825,45171023,12652,64842494,27107,20955743,21814,85852376,52719,207566028,49607,165186986,122220,153429410,14030,44529840,11412,65402004,24012,19709789,19401,78879709,44428,195118181,65346,185848758,102678,134693988,11436,40437572,9290,52358882,19517,17117498,14100,59503569,33611,165330274,53527,166608301,72999,99486806,7294,26523479,5673,34394704,12112,9327459,8361,38342341,21977,113581376,39194,100067918,48105,62436539,4019,14169380,3246,19230522,6223,5476337,4453,22505050,12328,62385927,9080,45640285,19383,23474890,1275,4418127,1202,6649941,1963,1841830,1531,8067175,4588,20436106,2960,16024931,6064,7366887,314,1120541,373,2112840,409,431267,443,2295052,1111,4727311,916,5319975,2103,2447698,73,279562,117,716154,155,115187,130,818186,397,1884479,293,2696704,1117,1214413,266,1072443,190,2123658,83,174263,389,2839043,362,1340424,544,3848872
104年11月,新北市,女性,860,483738,105,188775,89,208664,136,61958,178,338430,246,470648,344,826604,13903,12469754,2964,6456959,2891,10025668,5334,2373863,5779,13431612,7463,19016592,10225,33239695,42623,49628249,8572,20897832,6819,32812044,14423,7105080,14703,38418826,22459,65605532,55468,106955360,84995,108032556,15498,36965223,11351,59197934,23927,15566992,19469,58819750,44217,132468078,57002,143123685,122613,153101701,19033,50381655,14180,77016159,28565,19926666,22523,71566758,58377,174854690,52545,165571267,120125,153555464,14979,44567655,13054,76734787,25996,21291619,19972,69061849,49966,162089013,42716,153077083,115305,155615535,12779,43209158,12200,79131886,23470,19817513,17437,64939126,41531,148524503,46321,170946698,96619,137085937,10021,37513977,9947,66354172,18784,16066565,12780,49944183,31082,121036562,53594,142361047,68774,101456489,6525,25054149,6201,43213411,11797,10034979,7511,30504496,19422,81781040,16473,85652312,44427,64223532,3468,13356003,3536,24375081,6149,5030777,3966,17979197,11393,43857410,8362,39532280,18593,24515539,1120,3941229,1360,8027694,1968,1632894,1365,5687920,4294,16152281,2972,15205263,5572,7565773,272,1090788,370,2355769,413,293324,384,2068284,1064,3773460,9059,14400987,1980,2495534,85,291225,124,850966,139,114343,111,761100,340,1248580,305,1270115,1035,1288536,236,982843,179,2101418,79,343309,296,1764489,343,1324507,556,3257353
104年12月,新北市,女性,1058,659258,142,242265,97,212318,211,72742,213,350608,326,585423,399,784840,16864,15625879,3731,7908030,2790,9557011,6078,2579631,6509,15281218,8265,17319917,11532,30367230,48813,58917639,10772,25292371,7084,28518530,15908,8443687,16085,44778691,23016,52223018,72308,105498617,92719,121829383,19587,46596854,11433,54810884,25576,16317427,21795,66882994,42621,95314935,44156,128415008,131432,170742826,23876,64471027,14448,77414562,30496,21331704,25822,87063338,55835,130465540,55547,158760405,126067,168556582,19293,55604032,13461,72820218,28127,24741586,23185,86051421,48710,129337771,65373,181038272,120975,170160014,16114,53124088,12475,74575418,25164,24416398,20272,79674282,38490,112307897,50062,205651121,100404,148250632,12572,46671213,10412,66715627,20343,16897019,14646,61943118,28161,90744293,32388,139006231,71794,110678960,7806,28913780,6636,44682827,12635,11652571,8633,42470085,18143,66063334,21784,95470810,46430,68783873,4417,16991653,3993,27500788,6725,6649326,4653,20870797,10579,32786049,10103,54265984,19997,27161660,1543,5131001,1449,8639161,2107,1598631,1625,6962783,4085,12456111,3513,19161452,6122,8108780,381,1209873,442,2899849,443,770530,441,2440140,939,2867352,1009,5458204,2209,3100412,82,317656,172,869425,142,101657,174,644712,338,1028495,364,3121094,1141,1596860,241,936143,163,1425409,96,116558,395,2075506,346,1035598,587,3327101
105年01月,新北市,女性,1385,1017768,463,785105,144,359065,689,342563,547,1004016,560,1030693,615,1104551,25565,28329267,11462,21755951,4536,14714741,15452,7717209,12494,26552577,14277,28616405,17318,38912165,75972,102460439,31672,65516468,13465,49646180,39212,22331525,27278,66933584,39454,86526864,64652,124692282,142001,211649421,55338,119926241,23503,96269366,55903,38868164,37064,102441807,68202,150796466,104856,205337908,201650,302103726,70040,160686078,29194,121963932,65341,54314139,45659,150989713,86988,198353600,101540,245747628,196898,309561006,60935,154345500,27805,134200027,58455,49524080,40747,180262655,75234,189276993,83772,239196130,190192,317291997,51275,146474439,27291,139378755,54580,50555924,33933,176292309,60465,168411548,82508,256550074,160214,281968861,34831,110001457,23190,118936790,44099,42761508,23243,115315070,43082,137090840,57715,201765542,115826,208483042,20312,66622290,15831,85858250,29048,25536119,13104,56494720,25867,87481673,38918,134488591,77004,131169428,10752,34207616,9277,51991678,15579,15120193,6919,31397266,14736,44458164,21125,75778028,34198,52082899,3869,11667441,3708,17400035,5421,4742012,2656,12681037,5971,16557536,9455,37526500,10440,16619667,872,2582646,946,4602755,1254,1422166,686,3977546,1439,3862791,2065,7923832,3717,5646225,248,772178,322,1620890,419,432496,237,941035,430,2271148,805,2972819,2521,4239971,896,3226233,434,2718964,467,632729,600,3844590,672,2069519,1334,5497641
105年02月,新北市,女性,1261,1001679,345,557069,159,327164,480,213240,855,1226016,926,1718603,589,1080754,23189,25737376,8769,17544663,4402,13434902,12059,6063924,13970,26233274,18672,40364533,29876,41532094,69243,90978531,21611,47257661,12208,44867800,30821,17534148,29020,65071329,47455,106218688,42366,100896643,127185,175389086,36323,82128533,19968,71824595,45146,31824972,36519,85117408,74980,157896906,69852,158018157,178955,247446132,47845,112725127,25603,105099288,52831,41894337,44006,120716483,90069,191227471,84974,201676948,178814,263729184,44534,114313476,24543,104977178,47466,39284471,38845,145932554,80056,185566175,76347,198573701,174396,271793577,40450,115800079,24120,106598525,44746,40994521,33271,147149738,66535,168741793,67400,214222613,147836,236312009,29310,91554451,20622,97702360,36625,33899376,22234,93908174,47406,132367222,52994,173052063,105425,168770863,17004,55523766,13134,61125190,24488,21040527,12277,48436836,27274,79139302,51664,112275894,68296,101433567,8498,27696352,7538,35674232,12924,12018187,6295,24537737,14833,39744838,16176,60233334,30197,41928050,2827,8711433,2899,12158916,4613,4214494,2428,9744514,5568,14235546,6369,22989676,9019,12460314,608,1735895,795,3307923,967,1042127,629,4437722,1347,3587516,1583,6191550,3040,4195217,178,406414,291,1157062,333,313851,201,819617,405,1304661,570,1714903,2212,3928922,769,2848343,377,2571622,355,594333,523,3615717,669,1645311,1069,4165929
105年03月,新北市,女性,1315,904931,412,577753,135,360180,820,301295,546,827159,706,1140052,643,909709,25857,25364022,8782,15820156,3888,12039277,15399,7439556,12269,25565791,14009,25814432,17500,36798168,72148,84890522,22715,46190187,10863,34846441,37824,21160633,26744,63435988,35555,69919224,48107,112051852,129936,162570703,36425,79028007,17659,61291009,54296,35530077,34561,88542410,57918,114106820,77043,173597242,180441,223363482,42471,97805063,21784,79081356,62406,53419017,40806,122121554,69692,141390153,92461,218499144,174404,219589724,35059,87536170,20147,84282882,55791,46664367,34808,123616687,56813,122388186,101204,228606902,164633,215236819,31184,86528625,19076,86795528,51429,44318729,27967,107198803,45130,110261552,85739,238951581,139426,190022099,24774,74657479,15691,74079540,42120,40501532,20192,78332925,34191,95227359,55465,179078557,100394,139093022,15410,47848523,10881,51532505,28559,27900664,11945,51647707,20832,58179550,32411,119190420,67407,88130228,8200,25036452,6105,27333020,15222,13248087,6414,30219397,11953,33412910,18943,71368842,30408,35884504,2993,8364558,2521,11250057,5315,4801391,2537,11382167,4774,12842893,6781,28087803,9282,11295346,635,1922647,731,3318224,1205,1251613,637,5127980,1206,3997148,2184,6644988,3023,3800213,181,522479,250,1235752,352,336036,197,807698,384,1101022,570,2010793,2132,2697587,660,2332786,298,2073266,473,855984,545,2690359,564,1469417,1152,5102505
105年04月,新北市,女性,1450,1037983,417,593645,118,333267,747,254953,455,712856,656,932585,1002,1214546,25282,24882071,10248,17456516,3562,11711118,15835,7701454,11199,22404371,14404,27574247,23721,39805349,73305,86774275,27212,52978040,9489,37833875,37069,21006167,26777,62989831,39740,86675392,87645,132973921,131746,167992613,46399,94542325,16008,70639417,52658,36284831,35008,88937097,67304,145206803,88230,181967553,183876,226661030,56129,118753139,19759,89549263,59808,45588924,41644,120224461,81906,174950802,96856,222246579,178653,226807488,45580,106531199,17964,88046109,53957,44147283,35973,117400988,67511,153858330,114427,246044983,169035,225054921,38466,100858529,17581,95275688,49665,41954161,28935,105431328,53213,137439779,75397,222247131,141570,195034550,28651,82470137,14569,84301464,40253,37537698,20290,77762754,38779,112468203,57319,191390112,99898,140692327,17165,51719280,9631,54172231,26973,24052424,11521,48713403,23638,79095436,33998,121314541,66413,88269524,9307,27392231,5580,31280788,14463,12900477,6629,30683614,13637,42219557,19640,74688539,30272,37427656,3491,9861964,2248,12275652,5065,4336279,2561,11319648,5373,14343279,7536,28622378,8935,10783263,768,2250091,663,4240293,1087,921847,638,4665864,1309,3650956,1861,8069757,3249,4773186,211,592146,200,1168072,340,392793,214,1175616,401,1330047,608,4176435,1002,1133076,76,277744,89,557407,123,152803,63,321071,143,447436,178,702645
