年度,大職業別,經常性薪資-薪資,經常性薪資-女/男,國中及以下-薪資,國中及以下-女/男,高中或高職-薪資,高中或高職-女/男,專科-薪資,專科-女/男,大學-薪資,大學-女/男,研究所及以上-薪資,研究所及以上-女/男
2014,用水供應及污染整治業,25601,98.65,20953,97.85,23074,96.9,25541,97.15,27456,98.48,30933,99.45
2014,用水供應及污染整治業-專業人員,32899,99.87,—,—,—,—,—,—,31444,99.6,34873,100
2014,用水供應及污染整治業-技術員及助理專業人員,28552,99.46,—,—,—,—,27590,99.22,27944,99.52,31204,99.61
2014,用水供應及污染整治業-事務支援人員,24394,97.16,—,—,22468,97.86,23812,97.03,25430,97.25,27208,98.78
2014,用水供應及污染整治業-服務及銷售工作人員,26957,100,23500,…,25706,100,27592,100,28736,100,—,—
2014,用水供應及污染整治業-技藝、機械設備操作及組裝人員,25263,97.48,—,—,24731,97.87,25277,96.46,26087,97.12,—,—
2014,用水供應及污染整治業-基層技術工及勞力工,21557,97.35,20843,97.63,22034,97.32,—,—,—,—,—,—
2014,營造業,26275,96.47,22814,96.56,23866,95.66,25107,96.29,27596,95.58,32063,97.87
2014,營造業-專業人員,31868,97.5,—,—,—,—,—,—,30580,96.36,33967,98.48
2014,營造業-技術員及助理專業人員,28383,98.83,—,—,—,—,26527,98.37,28284,97.87,32916,98.93
2014,營造業-事務支援人員,23970,97.3,—,—,22104,98.62,23310,98.4,24892,97.11,28365,97.86
2014,營造業-服務及銷售工作人員,25075,99.74,23125,100,24136,100,25259,99.26,27164,100,—,—
2014,營造業-技藝、機械設備操作及組裝人員,26199,99.26,—,—,25737,99.28,26391,99.08,27116,98.35,—,—
2014,營造業-基層技術工及勞力工,23127,96.6,22779,96.15,23414,97.11,—,—,—,—,—,—
2014,服務業部門,25736,97.83,21072,98.32,22341,97.3,24323,97.59,27258,98.27,32258,99.11
2014,服務業部門-專業人員,32594,99.4,—,—,—,—,—,—,30806,99.33,35270,99.6
2014,服務業部門-技術員及助理專業人員,27997,99.04,—,—,—,—,25671,98.47,27882,99.15,31900,99.27
2014,服務業部門-事務支援人員,24716,97.5,—,—,22120,98.33,23626,97.99,25554,97.86,29317,99.07
2014,服務業部門-服務及銷售工作人員,23110,98.34,21527,98.36,22135,98.36,23429,98.18,24760,98.96,—,—
2014,服務業部門-技藝、機械設備操作及組裝人員,25343,97.72,—,—,24232,96.23,25379,97.82,26722,98.19,—,—
2014,服務業部門-基層技術工及勞力工,21082,98.22,20685,98.19,21382,98.31,—,—,—,—,—,—
2014,批發及零售業,25069,97.57,21315,98.49,22108,97.45,24031,97.45,26552,97.99,31142,98.62
2014,批發及零售業-專業人員,31965,99.1,—,—,—,—,—,—,30597,99.1,34101,98.94
2014,批發及零售業-技術員及助理專業人員,27276,99.83,—,—,—,—,25265,99.68,27317,99.87,30983,99.01
2014,批發及零售業-事務支援人員,24382,97.25,—,—,21936,98.79,23469,97.94,25402,97.33,28575,98.93
2014,批發及零售業-服務及銷售工作人員,22876,98.66,21284,99.68,21654,99.08,23173,97.96,24391,98.94,—,—
2014,批發及零售業-技藝、機械設備操作及組裝人員,24999,96.55,—,—,23862,95.03,25315,96.39,26114,97.37,—,—
2014,批發及零售業-基層技術工及勞力工,21585,97.84,21349,97.23,21712,98.21,—,—,—,—,—,—
2014,運輸及倉儲業,26058,96.87,21089,96.53,23358,94.66,24984,95.66,28143,97.29,31805,98.9
2014,運輸及倉儲業-專業人員,35428,99.17,—,—,—,—,—,—,34072,98.8,37177,99.62
2014,運輸及倉儲業-技術員及助理專業人員,28639,99.7,—,—,—,—,25956,98.75,28974,99.18,31969,99.61
2014,運輸及倉儲業-事務支援人員,24513,95.98,—,—,21909,96.93,23696,96.28,25886,97.15,28684,98.7
2014,運輸及倉儲業-服務及銷售工作人員,25089,97.94,21479,97.91,23373,98.58,25522,97.23,27620,99.07,—,—
2014,運輸及倉儲業-技藝、機械設備操作及組裝人員,26520,97.6,—,—,25801,96.81,26153,97,28087,97.65,—,—
2014,運輸及倉儲業-基層技術工及勞力工,21676,97.75,20968,95.9,22154,99.17,—,—,—,—,—,—
2014,住宿及餐飲業,23013,98.44,20689,98.67,21506,98.41,22976,98.17,24646,99.13,27313,99.88
2014,住宿及餐飲業-專業人員,29250,99.82,—,—,—,—,—,—,28768,99.86,30107,99.75
2014,住宿及餐飲業-技術員及助理專業人員,25590,99.16,—,—,—,—,25044,97.63,25633,99.97,26358,99.86
2014,住宿及餐飲業-事務支援人員,23868,98.97,—,—,22277,99.1,23311,99.5,24697,98.63,25934,100
2014,住宿及餐飲業-服務及銷售工作人員,21647,98.45,20992,97.97,21108,98.69,21869,97.93,22564,99.29,—,—
2014,住宿及餐飲業-技藝、機械設備操作及組裝人員,24046,98.39,—,—,23291,98.02,24197,98.27,24823,98.88,—,—
2014,住宿及餐飲業-基層技術工及勞力工,20671,98.85,20327,99.47,20941,98.32,—,—,—,—,—,—
2014,資訊及通訊傳播業,26498,98.35,21212,99.73,22402,98.61,24351,98.46,27055,98.49,31762,99.23
2014,資訊及通訊傳播業-專業人員,30686,99.2,—,—,—,—,—,—,28839,99.19,33519,99.6
2014,資訊及通訊傳播業-技術員及助理專業人員,27461,99.5,—,—,—,—,25025,99.11,27288,99.6,31479,99.44
2014,資訊及通訊傳播業-事務支援人員,24959,98.35,—,—,22514,99.01,23862,98.48,25276,98.39,29076,99.05
2014,資訊及通訊傳播業-服務及銷售工作人員,24062,99.27,21668,99.68,22773,99.67,24235,99.69,25995,98.79,—,—
2014,資訊及通訊傳播業-技藝、機械設備操作及組裝人員,24425,96.15,—,—,22720,94.2,24328,95.86,26013,97.47,—,—
2014,資訊及通訊傳播業-基層技術工及勞力工,20981,99.87,20712,99.7,21207,100,—,—,—,—,—,—
2014,金融及保險業,30379,99.05,22636,99.73,24676,96.71,26860,99.04,30577,99.2,35717,99.21
2014,金融及保險業-專業人員,35898,99.93,—,—,—,—,—,—,33642,99.91,38123,99.8
2014,金融及保險業-技術員及助理專業人員,31242,99.03,—,—,—,—,27364,99.25,30564,99.22,35119,98.92
2014,金融及保險業-事務支援人員,28854,98.83,—,—,23967,98.38,26570,99.12,29070,99.01,33743,98.94
2014,金融及保險業-服務及銷售工作人員,25925,99.78,22688,100,24288,99.68,25668,100,28074,99.45,—,—
2014,金融及保險業-技藝、機械設備操作及組裝人員,28985,96.74,—,—,28145,93.36,28146,97.28,30664,98.58,—,—
2014,金融及保險業-基層技術工及勞力工,22712,98.11,22525,99.07,22828,97.46,—,—,—,—,—,—
2014,不動產業,26743,97.34,20169,97.85,22842,97.35,25006,96.76,28625,97.99,32228,98.22
2014,不動產業-專業人員,32126,99.84,—,—,—,—,—,—,30637,99.59,34126,99.23
2014,不動產業-技術員及助理專業人員,28078,97.11,—,—,—,—,24767,95.41,29542,99.65,32252,97.4
2014,不動產業-事務支援人員,25198,97.99,—,—,22309,98.12,24287,97.44,26677,98.35,30186,99.69
2014,不動產業-服務及銷售工作人員,25173,98.88,20737,96.29,23008,96.89,26506,100,27427,99.22,—,—
2014,不動產業-技藝、機械設備操作及組裝人員,26848,99.01,—,—,23610,98.95,27252,99,28798,99.06,—,—
2014,不動產業-基層技術工及勞力工,22104,97.76,19752,99.16,23574,97.24,—,—,—,—,—,—
2014,專業、科學及技術服務業,27202,97.23,20562,97.27,22145,97.79,24405,97.19,27663,98.23,33164,98.9
2014,專業、科學及技術服務業-專業人員,32078,99.63,—,—,—,—,—,—,29977,99.72,35237,99.42
2014,專業、科學及技術服務業-技術員及助理專業人員,27558,98.31,—,—,—,—,25322,96.41,27195,99.06,32382,99.74
2014,專業、科學及技術服務業-事務支援人員,25174,97.45,—,—,21870,98.88,23647,98.64,25945,98.09,30299,98.7
2014,專業、科學及技術服務業-服務及銷售工作人員,24420,98.6,20813,98.21,22713,100.11,24630,98.12,26245,98.69,—,—
2014,專業、科學及技術服務業-技藝、機械設備操作及組裝人員,24522,96.56,—,—,22852,94.52,24853,98.46,26211,97.67,—,—
2014,專業、科學及技術服務業-基層技術工及勞力工,21145,96.87,20451,96.85,21784,97.37,—,—,—,—,—,—
2014,支援服務業,23847,98.08,20925,97.99,21985,97.61,23706,98.15,25632,98.39,29224,98.59
2014,支援服務業-專業人員,30432,98.63,—,—,—,—,—,—,29060,98.9,33003,98.6
2014,支援服務業-技術員及助理專業人員,26485,99.04,—,—,—,—,24956,99,26933,98.79,29108,99.67
2014,支援服務業-事務支援人員,23781,97.95,—,—,22013,98.89,23179,98.41,24572,98.28,27309,98.39
2014,支援服務業-服務及銷售工作人員,23134,98.29,21773,99.11,22805,97.81,23524,98.18,24166,98.46,—,—
2014,支援服務業-技藝、機械設備操作及組裝人員,24492,97.92,—,—,23485,94.58,24717,98.35,25365,99.73,—,—
2014,支援服務業-基層技術工及勞力工,20620,97.95,20447,97.82,20771,98.11,—,—,—,—,—,—
2014,教育服務業,23437,95.55,20620,96.11,21128,96.89,22047,95.84,24027,95.91,28659,98.79
2014,教育服務業-專業人員,26277,97.85,—,—,—,—,—,—,25722,97.88,28522,99.55
2014,教育服務業-技術員及助理專業人員,25278,98.77,—,—,—,—,24036,97.02,25675,99.03,27500,…
2014,教育服務業-事務支援人員,22325,95.75,—,—,21032,99.47,21612,97.06,22334,95.83,29118,97.64
2014,教育服務業-服務及銷售工作人員,22817,99.6,21000,…,21500,100,23091,99.14,24491,98.15,—,—
2014,教育服務業-技藝、機械設備操作及組裝人員,22545,88.74,—,—,21455,87.75,22105,88.49,24244,88.49,—,—
2014,教育服務業-基層技術工及勞力工,20702,94,20334,93.2,20970,94.33,—,—,—,—,—,—
2014,醫療保健服務業,26867,99,21495,99.76,22801,99.01,25136,98.82,28853,99.06,33329,99.51
2014,醫療保健服務業-專業人員,35613,98.53,—,—,—,—,—,—,34125,98.32,37801,99.35
2014,醫療保健服務業-技術員及助理專業人員,28643,98.43,—,—,—,—,26758,98.27,28465,98.32,32050,99.5
2014,醫療保健服務業-事務支援人員,24475,99,—,—,22144,99.24,23471,99.35,25298,99.25,28639,99.69
2014,醫療保健服務業-服務及銷售工作人員,23798,99.76,22251,99.78,23313,99.55,24164,99.72,25260,99.86,—,—
2014,醫療保健服務業-技藝、機械設備操作及組裝人員,26192,99.05,—,—,24788,98.71,26531,98.92,27409,99.34,—,—
2014,醫療保健服務業-基層技術工及勞力工,21239,99.9,20850,99.87,21558,99.87,—,—,—,—,—,—
2014,藝術、娛樂及休閒服務業,23475,98.01,20898,98.57,21687,98.51,23365,98.25,25204,98.16,28674,99.21
2014,藝術、娛樂及休閒服務業-專業人員,29660,99.91,—,—,—,—,—,—,28790,99.46,31400,99.39
2014,藝術、娛樂及休閒服務業-技術員及助理專業人員,26806,99.25,—,—,—,—,25597,99.5,26537,98.17,29643,100
2014,藝術、娛樂及休閒服務業-事務支援人員,22766,98.77,—,—,21584,97.98,22499,99.96,23602,98.54,25144,98.29
2014,藝術、娛樂及休閒服務業-服務及銷售工作人員,22632,98.24,21779,96.68,22322,99.11,22731,97.53,23419,99.74,—,—
2014,藝術、娛樂及休閒服務業-技藝、機械設備操作及組裝人員,23723,97.42,—,—,22892,98.9,23835,97.26,24895,96.13,—,—
2014,藝術、娛樂及休閒服務業-基層技術工及勞力工,20565,98.62,20439,99.59,20656,98.02,—,—,—,—,—,—
2014,其他服務業,22551,95.98,20899,96.74,21495,96.59,22807,95.95,24232,96.21,26845,96.06
2014,其他服務業-專業人員,29500,99.66,—,—,—,—,—,—,29000,99.13,31500,…
2014,其他服務業-技術員及助理專業人員,24724,89.1,—,—,—,—,24081,89.46,24688,89.36,29400,…
2014,其他服務業-事務支援人員,22867,96.91,—,—,21590,98,22544,97.48,23863,97.26,25973,98
2014,其他服務業-服務及銷售工作人員,22021,95.24,21272,95.25,21319,95.18,22576,95.69,23565,96.95,—,—
2014,其他服務業-技藝、機械設備操作及組裝人員,22861,98.83,—,—,21987,97.36,23022,99.13,24222,98.26,—,—
2014,其他服務業-基層技術工及勞力工,20609,98.4,20327,98.05,20938,98.87,—,—,—,—,—,—
